tok_norm	n	example_turno_pk	example_text
desde cu├índo no est├í laborando estimado	2	39840	┬┐Desde cu├índo no est├í laborando, estimado?
de qui├®n	2	46334	┬┐De qui├®n?
exacto	2	33883	Exacto.
ya entonces	2	41429	Ya. Entonces,
7 7	2	47971	7 7.
me comunica	2	31737	┬┐Me comunica
de qu├®	2	33898	┬┐De qu├®?
s├¡ estimado	2	29301	S├¡, estimado.
ya ya gracias gracias	2	44075	Ya, ya, gracias, gracias.
buen d├¡a	2	56182	Buen d├¡a.
financiera oh	2	33905	Financiera OH!.
s├¡ se├▒orita s├¡	2	46119	S├¡, se├▒orita, s├¡.
ok entonces	2	37274	Ok, entonces
luis miguel lima flores	2	56801	Luis Miguel Lima Flores.
s├¡ se├▒or	2	26194	S├¡. Se├▒or
s├¡ d├¡game le escucho	2	28499	S├¡, d├¡game, le escucho.
claudiate a movistar y disfruta de la nueva red m├│vil llamando al 0 811 800	2	27773	Claudiate a Movistar y disfruta de la nueva red m├│vil, llamando al 0 811 800.
s├¡ s├¡ d├¡game	2	45935	S├¡, s├¡, d├¡game.
siempre mant├®n la distancia	2	38098	Siempre mant├®n la distancia.
ah d├¡game	2	39625	Ah, d├¡game.
ya por favor	2	31611	Ya, por favor.
muy bien	2	45651	Muy bien.
s├¡ con ├®l	2	29636	S├¡, con ├®l.
s├¡ buen d├¡a	2	30115	S├¡, buen d├¡a.
ya bueno	2	28156	Ya, bueno,
s├¡ se├▒orita buenas	2	27161	S├¡, se├▒orita, buenas.
ya y eso cu├ínto demora	1	40675	Ya. ┬┐Y eso cu├ínto demora?
ya eso me puede facilitar se├▒orita el correo o por whatsapp no s├® por qu├® no s├® si me ofrecieron el importe s├¡ se├▒or me	1	41856	Ya eso me puede facilitar, se├▒orita, el correo o por WhatsApp, no s├® por qu├®, no s├® si me ofrecieron el importe. S├¡, se├▒or, me
se├▒orita se equivoc├│ de n├║mero	1	44287	Se├▒orita. ┬┐Se equivoc├│ de n├║mero?
est├í bien est├í bien gracias	1	41465	Est├í bien. Est├í bien, gracias.
9 8 1 3 ah 40 59	1	45009	9 8 1 3. Ah, 40 59
entonces en breve le estamos enviando toda la documentaci├│n se├▒or juan y quedo atenta a la fotograf├¡a del mi nombre no se	1	51352	Entonces, en breve le estamos enviando toda la documentaci├│n, se├▒or Juan, y quedo atenta a la fotograf├¡a del Mi nombre No se
ya se├▒orita d├│nde tengo que ir para poder este arreglar	1	48775	Ya, se├▒orita. ┬┐D├│nde tengo que ir para poder, este, arreglar?
esto nos pas├│ vamos a proceder a reportarlo tenga en cuenta que esta llamada	1	40704	Esto nos pas├│, vamos a proceder a reportarlo, tenga en cuenta que esta llamada
yo habl├® con tu compa├▒ero le dije yo mi mi dispositivo	1	39137	yo habl├® con tu compa├▒ero, le dije yo mi mi dispositivo.
yeah s├¡ 6 19 c├│mo e 6 19	1	50946	Yeah, s├¡. 6 19. ┬┐C├│mo? ┬┐E? 6 19.
la documentaci├│n s├¡ pues tendr├¡a que ir a a ver si	1	42042	la documentaci├│n? S├¡, pues tendr├¡a que ir a a ver si
la se├▒ora evelyn francesca godoy	1	51422	┬┐La se├▒ora Evelyn Francesca Godoy?
comprendo y como tampoco ten├¡a acceso porque como le repet├¡an se├▒orita que el n├║mero que ten├¡a afiliado otras retrasos me lo robaron y justamente ese celular tambi├®n ten├¡a el el oma y como no lo encuentro en lima pues ya no no no no encuentro la bandera de ah├¡	1	43790	Comprendo. Y como tampoco ten├¡a acceso, porque como le repet├¡an, se├▒orita, que el n├║mero que ten├¡a afiliado otras retrasos, me lo robaron y justamente ese celul
ah ya s├¡ pues pero el d├¡a no es imposible esta semana entonces ser├¡a	1	41661	Ah, ya. S├¡, pues, pero el d├¡a, no es imposible, esta semana, entonces, ser├¡a.
ah ya aj├í s├¡ pues bien a m├¡ me est├í perjudicando eso bastante	1	43397	Ah, ya. Aj├í. S├¡, pues bien. A m├¡ me est├í perjudicando eso bastante.
lima ah en claro	1	48706	Lima? Ah, en Claro.
no me escucha me escucha mejor se├▒or ├│scar	1	40742	No me escucha. ┬┐Me escucha mejor, se├▒or ├ôscar?
listo listo no hay problema	1	42492	Listo, listo, no hay problema.
422 para que lo liquide se├▒or daniel	1	43602	422 para que lo liquide, se├▒or Daniel.
no hay nadie no hable	1	50849	No hay nadie, no hable.
y le transfiero el miante estimado si me lo tengo que	1	51462	┬┐Y le transfiero el miante, estimado? Si me lo tengo que
es el total di 13 13 3 98	1	48830	Es el total, di 13 13 3 98.
hasta el 31 no hasta el 30 porque ya el 30 en la noche cerramos todo lo que son los reportes y se entrega porque recuerde que el d├¡a 31 es s├íbado y probablemente colapsan los sistemas entonces no podr├¡amos tener la certeza de que el dinero que ingrese el d├¡a 31 pudiera ser considerado ese mismo d├¡a sino que ingrese para el primero estar├¡a usted perdiendo posiblemente la facilidad que se le est├í brindando entonces lo que tenemos estipulado como fecha m├íxima hasta el d├¡a 30 para tener la certeza	1	40648	┬┐Hasta el 31? No, hasta el 30, porque ya el 30 en la noche cerramos todo lo que son los reportes y se entrega porque recuerde que el d├¡a 31 es s├íbado, y probabl
les he dicho mis posibilidades de pago pero creo que ustedes no hacen	1	39324	Les he dicho mis posibilidades de pago, pero creo que ustedes no hacen.
verificar puede verificarlo en oxictel el n├║mero est├í registrado si usted desea	1	44296	verificar, puede verificarlo en Oxictel, el n├║mero est├í registrado. Si usted desea
y cancelar ese arreglo ya favor	1	43098	y cancelar ese arreglo, ┬┐ya? Favor.
v├íyase a la concha de tu madre entonces no te voy a pagar nunca yo ya pagu├® ya	1	51484	V├íyase a la concha de tu madre, entonces, no te voy a pagar nunca, yo ya pagu├® ya.
me puede decir m├ís o menos de qu├® se trata porque la verdad que ese tema judicial para m├¡ es un poco delicado	1	40755	┬┐Me puede decir m├ís o menos de qu├® se trata? Porque la verdad que ese tema judicial para m├¡ es un poco delicado.
llam├® por tel├®fono a la financiera atenci├│n al cliente	1	50934	Llam├® por tel├®fono a la financiera atenci├│n al cliente.
pues no entonces a eso es lo que yo tambi├®n quisiera decirles no de que de repente el banco me dice mira mano s├¡ s├¡ te	1	41404	pues, ┬┐no? Entonces, a eso es lo que yo tambi├®n quisiera decirles, ┬┐no? De que de repente el banco me dice, mira, mano, s├¡, s├¡ te
ah h├ígame lo que le d├® la gana la denuncia yo no los quiero escuchar yo no firm├®	1	51500	Ah, h├ígame lo que le d├® la gana la denuncia, yo no los quiero escuchar. Yo no firm├®.
ok est├í bien entonces yo no utilizo el chip	1	48673	Ok, est├í bien, entonces. Yo no utilizo el chip
y ├®l es la misma respuesta	1	43367	Y ├®l es la misma respuesta.
pero le comento antes de hacer cualquier pago es importante que tenga usted presente	1	43156	pero le comento, antes de hacer cualquier pago, es importante que tenga usted presente
s├¡ ok cu├ínto fue el monto que le ha brindado para poder validarlo	1	49763	s├¡. Ok. ┬┐Cu├ínto fue el monto que le ha brindado para poder validarlo?
todav├¡a ten├¡a trabajos independientes pero ahora por un tema de salud m├¡o lo tengo	1	48871	Todav├¡a ten├¡a trabajos independientes, pero ahora por un tema de salud m├¡o lo tengo.
ok est├í bien gracias cu├íl era tu nombre	1	40573	Ok, est├í bien. Gracias. ┬┐Cu├íl era tu nombre?
s├¡ igual cosa usted me comunica ya tiene mi n├║mero gu├írdelo ├®rika llanos yo le estar├¡a devolviendo la llamada igual e indicarle que las personas de cobranza igualmente le van a seguir haciendo si usted se quiere	1	42514	S├¡, igual cosa, usted me comunica, ya tiene mi n├║mero, gu├írdelo ├ërika Llanos, yo le estar├¡a devolviendo la llamada. Igual, e indicarle que las personas de cobra
no se├▒orita y nom├ís es una persona mayor pegada	1	39609	No, se├▒orita, y nom├ís es una persona mayor pegada.
de todas maneras quiero reiterarle que las llamadas van a seguir persistiendo	1	39691	De todas maneras, quiero reiterarle que las llamadas van a seguir persistiendo.
ok voy a tratar de ir a a plaza vea como dice usted y espero que hagan la carta de no adeudo en el instante no	1	45050	Ok, voy a tratar de ir a a Plaza Vea, como dice usted, y espero que hagan la carta de no adeudo en el instante. No
ok por favor	1	51534	Ok, por favor.
hace un hace un poco me me dijeron que es mi n├║mero de 500 pero en ese momento no ten├¡an	1	48561	Hace un hace un poco me me dijeron que es mi n├║mero de 500, pero en ese momento no ten├¡an
hasta 240 tengo lista se├▒orita	1	40791	Hasta 240 tengo lista, se├▒orita.
como le dije le coment├® estaba delicado de salud	1	42390	Como le dije, le coment├®, estaba delicado de salud.
c├│mo dice no le escucho bien c├│mo dice	1	50166	┬┐C├│mo dice? No le escucho bien. ┬┐C├│mo dice?
no ok tiene para que	1	49958	No. Ok. Tiene para que
s├¡ est├íbamos conversando para que pudiera	1	51563	S├¡, est├íbamos conversando para que pudiera
el milagro c├│rdoba sandoval	1	40537	El Milagro C├│rdoba Sandoval.
ese todav├¡a fue	1	39071	┬┐Ese todav├¡a fue?
exacto y qu├® manera mire en este caso lo que yo puedo dar	1	44339	Exacto. ┬┐Y qu├® manera? Mire, en este caso Lo que yo puedo dar
claro ya nos hab├¡amos comunicado anteriormente o sea la esta es la	1	44748	Claro, ya nos hab├¡amos comunicado anteriormente, o sea, la esta es la
s├¡ que era todo no se est├® faltando como influencia tambi├®n no se est├® faltando	1	44549	S├¡, que era todo, no se est├® faltando como influencia. Tambi├®n No se est├® faltando
lo que tuve es una reuni├│n de trabajo ya no pude salir	1	51627	lo que tuve es una reuni├│n de trabajo ya no pude salir.
y le indico c├│mo solicitar su carta de no adeudo es en 5 d├¡as h├íbiles se le env├¡an a su correo electr├│nico usted mismo la va a generar totalmente gratis	1	48920	Y le indico c├│mo solicitar su carta de no adeudo, es en 5 d├¡as h├íbiles, se le env├¡an a su correo electr├│nico, usted mismo la va a generar totalmente gratis.
llamar mi estimada	1	40821	Llamar, mi estimada.
al momento de recibir la tarjeta	1	42566	Al momento de recibir la tarjeta.
claro eso no pueden hacer porque ella habla con abogados y ya no se preocupe	1	50372	Claro, eso no pueden hacer, porque ella habla con abogados y ya no se preocupe.
cuenta encuentre el pago que	1	44157	cuenta encuentre el pago que
wow ya posiblemente ya le hagan visitas domiciliarias para poder notificarlo en el domicilio es que usted dej├│ brindada en santiago del sur	1	51019	Wow, ya posiblemente ya le hagan visitas domiciliarias para poder notificarlo en el domicilio, es que usted dej├│ brindada en Santiago del Sur,
concrete y me diga qu├® d├¡a exactamente va a pagar porque tiene chance hasta esta semana nada m├ís	1	51703	Concrete y me diga qu├® d├¡a exactamente va a pagar, porque tiene chance hasta esta semana nada m├ís.
a ver nos han dicho hasta el 28 por ah├¡ pero si nos pagan antes yo inmediatamente cuando pagan yo estoy cancelando no se preocupe	1	48533	A ver, nos han dicho hasta el 28, por ah├¡, pero si nos pagan antes, yo inmediatamente cuando pagan, yo estoy cancelando, no se preocupe.
se preocupe he trabajado en el banco y s├® c├│mo se atras├│	1	40496	se preocupe. He trabajado en el banco y s├® c├│mo se atras├│.
a ver podr├¡a o sea tengo que dar una fecha exacta	1	43814	A ver, podr├¡a, o sea, ┬┐tengo que dar una fecha exacta?
s├¡ est├í bien esp├®rame pero igual escr├¡beme por favor antes de llamar	1	51240	S├¡, est├í bien. Esp├®rame, pero igual escr├¡beme, por favor, antes de llamar.
me estuvo indicando que no pudo realizar	1	51717	Me estuvo indicando que no pudo realizar
o una amistad para que le pueda prestar esa primera parte para que ├®l no quiera ya ya	1	48971	o una amistad para que le pueda prestar esa primera parte para que ├®l no quiera Ya, ya.
el monto que le he buscado se├▒or no para poder aunque usted me amenace con ir a mi casa en verdad por 1300 se├▒or me van a mandar por favor	1	39038	el monto que le he buscado, se├▒or. ┬┐No? Para poder Aunque usted me amenace con ir a mi casa en verdad, por 1300, se├▒or. ┬┐Me van a mandar? Por favor.
no lo que pasa es que no he estado en en telmo por eso es que no no he dado un poco fuera s├¡ por temas de sangr├¡a	1	51127	No, lo que pasa es que no he estado en en Telmo, por eso es que no no he dado un poco fuera. S├¡, por temas de sangr├¡a.
y con una asesora justamente me llam├│ y me dijo para poder este ok hasta el momento verdad	1	48477	Y con una asesora justamente me llam├│ y me dijo para poder, este, Ok. Hasta el momento. ┬┐Verdad?
la cuenta actualmente se├▒or pero ya ha sido transferido a nuestro estudio c r por ello es que se le est├í llamando estamos encargados de su cuenta	1	40398	La cuenta actualmente, se├▒or, pero ya ha sido transferido a nuestro estudio C r, por ello es que se le est├í llamando, estamos encargados de su cuenta.
se├▒or mois├®s mucho gusto	1	42604	Se├▒or Mois├®s, mucho gusto.
claro yo tengo por qu├® ya es este mi madrina	1	50750	Claro, yo tengo por qu├® ya es, este, mi madrina.
se├▒or irvine anteriormente le	1	51747	Se├▒or Irvine, anteriormente le
y es imag├¡nese estaba yo desde ese momento desde el primer recibo que me que yo hab├¡a	1	49105	Y es, imag├¡nese, estaba yo desde ese momento, desde el primer recibo que me que yo hab├¡a
yo le he sacado le indiqu├® un n├║mero pero ya no s├® no no no	1	40858	Yo le he sacado, le indiqu├® un n├║mero, pero ya no s├®, no no no
s├¡ eso es lo que yo tengo entendido s├¡ este voy a llamar a 10 para ver c├│mo hacemos eso cu├índo me puedo ir a depositar	1	41815	S├¡, eso es lo que yo tengo entendido, s├¡. Este, voy a llamar a 10 para ver c├│mo hacemos eso, cu├índo me puedo ir a depositar.
es que si no yo ya estoy en lo profusieron en el sistema no procede ya la anterior lo que usted era que se	1	44371	Es que si no, yo ya estoy en lo profusieron. En el sistema, no procede. Ya la anterior lo que usted era que se
hace tiempo est├ín llamando y yo les estoy diciendo de que es de mi hermana el n├║mero	1	50620	Hace tiempo est├ín llamando y yo les estoy diciendo de que es de mi hermana el n├║mero.
qu├® financiera se├▒ora	1	45087	┬┐Qu├® financiera, se├▒ora?
no lo s├® se├▒orita	1	51797	No lo s├®, se├▒orita.
no no no de ah├¡ que ya cuando pago lo voy a mandar y ya ah├¡ lo voy a consultar a cualquier cosa	1	48392	No, no, no, de ah├¡ que ya cuando pago, lo voy a mandar y ya ah├¡ lo voy a consultar a cualquier cosa.
por eso si usted quiere saber si estoy trabajando para	1	40330	Por eso, si usted quiere saber si estoy trabajando para
ok que que no	1	38996	Ok, que que no.
bueno estimado pero en todo caso no me hubiera aceptado que era el se├▒or kenji y tenemos	1	50898	Bueno, estimado, pero en todo caso no me hubiera aceptado que era el se├▒or Kenji. Y tenemos
no es que ella ella trabaja ella trabaja corrido o sea no no va a venir hasta el d├¡a s├íbado	1	51893	No, es que ella ella trabaja ella trabaja corrido, o sea, no no va a venir hasta el d├¡a s├íbado.
y c├│mo se est├í suspentando en todo ese tiempo estimado si no est├í si no est├í laborando	1	49153	┬┐Y c├│mo se est├í suspentando en todo ese tiempo estimado si no est├í si no est├í laborando.
a ver pero me estoy comunicando con con lino miguel barrera serna	1	40892	A ver, pero me estoy comunicando con con Lino Miguel Barrera, Serna.
se├▒orita zarela arriaga r├¡os c├│mo est├í	1	42624	Se├▒orita Zarela Arriaga R├¡os. ┬┐C├│mo est├í?
ah ya ya ya	1	43867	Ah, ya, ya, ya.
es un importe mucho menor al descuento que usted	1	44640	es un importe mucho menor al descuento que usted.
cu├ínto es el monto que le han brindado disculpe	1	50018	┬┐Cu├ínto es el monto que le han brindado, disculpe?
no es que por correo no este mira estoy de hacer por la ciudad de socach estoy en un sitio que no hay ni bancos de de tarjetas ni nada pero estoy en en c├│mo te puedo decir de tocacha adentro s├¡ ya tiene unos env├¡os de palma por ah├¡	1	48354	No, es que por correo no, este, mira, estoy de hacer por la ciudad de Socach, estoy en un sitio que no hay ni bancos de de tarjetas ni nada, pero estoy en en ┬┐C
y usted tiene sustento de que est├í delicado de salud	1	40305	┬┐Y usted tiene sustento de que est├í delicado de salud?
en la llamada anterior que usted no le reconoce se├▒orita	1	42343	en la llamada anterior que usted no le reconoce Se├▒orita.
s├¡ pero qu├® respuesta le indicaron usted ha	1	41594	S├¡, pero, ┬┐qu├® respuesta le indicaron? Usted ha
por falta de liquidez se├▒orita	1	39274	Por falta de liquidez, se├▒orita.
24 se lo acaba acercando momento se├▒ora dayana	1	49214	24 se lo acaba acercando momento, se├▒ora Dayana?
por qu├® llegar estas fechas mayores estimadas si se puede llegar a una afectaci├│n	1	40939	┬┐Por qu├® llegar estas fechas mayores estimadas si se puede llegar a una afectaci├│n?
hace cu├ínto tiempo est├í enfermo estimado	1	43540	┬┐Hace cu├ínto tiempo est├í enfermo, estimado?
se├▒orita garc├¡a c├│mo est├í	1	50111	Se├▒orita Garc├¡a. ┬┐C├│mo est├í?
lo soy	1	39257	lo soy?
ok entonces nosotros s├¡	1	42814	Ok. Entonces, nosotros ┬┐S├¡?
me me contact├® con una recargada de me contact├® con una encargada de de financiera hasta lorena lorena no s├® qu├® y me qued├® de	1	44426	me me contact├® con una recargada de me contact├® con una encargada de de Financiera hasta Lorena, Lorena, no s├® qu├®, y me qued├® de
que bueno anteriormente usted lo ten├¡a prehabilitado y es un	1	39768	que, bueno, anteriormente usted lo ten├¡a prehabilitado y es un
los clientes me escriben mire hice la solicitud se me ha atrasado	1	41382	los clientes me escriben, mire, hice la solicitud, se me ha atrasado,
no porque el n├║mero que ustedes est├ín llamando es m├¡o yo soy cinthia quintana	1	49280	No, porque el n├║mero que ustedes est├ín llamando es m├¡o, yo soy Cinthia Quintana.
s├¡ se├▒orita claro	1	41015	S├¡, se├▒orita, claro.
en media hora s├¡ pero ya veo que le regrese	1	39383	En media hora. S├¡, pero Ya veo que le regrese
se├▒ora diana una consulta este usted tiene su tarjeta oh en f├¡sico	1	49879	Se├▒ora Diana, una consulta, este. ┬┐Usted tiene su Tarjeta OH! en f├¡sico?
ya pero en este instante le dejo el el celular se├▒or	1	57296	Ya. ┬┐Pero en este instante le dejo el el celular, se├▒or?
bueno porque en este caso usted el pago lo realiza	1	48322	Bueno, porque en este caso usted el pago lo realiza.
con janet pilar salcedo	1	40283	Con Janet Pilar Salcedo.
se├▒orita araceli usted est├í escuchando la informaci├│n que le por	1	39177	Se├▒orita Araceli, usted est├í escuchando la informaci├│n que le Por
cu├íl ser├¡a su propuesta	1	43266	┬┐Cu├íl ser├¡a su propuesta?
con respecto al pendiente que mantiene con la financiera estoy visualizando	1	44815	con respecto al pendiente que mantiene con la financiera. Estoy visualizando
yo no debo a nadie yo no debo a nada ofrecerle	1	45176	Yo no debo a nadie, yo no debo a nada, ofrecerle.
ok qued├® atento por favor	1	49305	Ok. Qued├® atento, por favor.
en ya m├ís de un a├▒o	1	41058	En ya m├ís de un a├▒o.
se├▒orita todav├¡a no le puedo dar una respuesta lo que pasa es que me han atrasado el pago hab├¡a estado pensando yo como le dije en unas 3 partes para pagarlo pero todav├¡a no va a ser posible no s├® si me puede llamar el d├¡a jueves en la tarde para ver ese tema	1	38915	Se├▒orita, todav├¡a no le puedo dar una respuesta, lo que pasa es que me han atrasado. El pago. Hab├¡a estado pensando yo, como le dije, en unas 3 partes para paga
en qu├® te puedo ayudar	1	43943	┬┐En qu├® te puedo ayudar?
arroba gmail	1	45960	┬┐Arroba Gmail?
con la financiera es activa	1	42881	Con la financiera. ┬┐Es activa?
le ha dejado el tel├®fono esta semana	1	50739	┬┐Le ha dejado el tel├®fono esta semana?
m├ís bien le agradecer├¡a que deje ya de estar llamando porque ya como le repito ya va a soltarse	1	50653	M├ís bien le agradecer├¡a que deje ya de estar llamando, porque ya, como le repito, ya va a soltarse.
s├¡ se├▒orita yo justamente estaba esperando que me llame se├▒orita va a ser imposible imposible de de c├│mo se llama de de de mentirle que lo voy a hacer y no lo voy a poder hacer porque yo he tenido ac├í una emergencia y no por por eso me ha c├│mo se llama me ha un poco que no	1	42135	S├¡, se├▒orita, yo justamente estaba esperando que me llame, se├▒orita, va a ser imposible. Imposible de de, ┬┐c├│mo se llama? De de de mentirle que lo voy a hacer y
a qu├® estado estoy llamando se├▒ora a validarla 2 datos de qui├®n	1	48299	┬┐A qu├® estado estoy llamando, se├▒ora? A validarla. ┬┐2 datos de qui├®n?
me usted puede ir a la financiera pero la pero como su caso ya pas├│ jur├¡dico la financiera lo va a a enviar otra vez para	1	40227	Me, usted puede ir a la financiera, pero la, pero como su caso ya pas├│ jur├¡dico, la financiera lo va a a enviar otra vez para
ya yo estoy esa se├▒orita o mi amiga me da la plata o yo estoy tratando de encontrar ese dinero de que alguien me d├®	1	42278	Ya. Yo estoy esa, se├▒orita. ┬┐O mi amiga me da la plata o yo estoy tratando de encontrar ese dinero? De que alguien me d├®.
con usted se├▒or vicente s├¡ diga my	1	50987	con usted, se├▒or Vicente, s├¡, diga, my.
menor a la totalidad del adeudo estimada en su momento que le brindaron esa	1	44454	Menor a la totalidad del adeudo, estimada. En su momento que le brindaron esa
pues har├¡a dif├¡cil al d├¡a	1	45908	Pues har├¡a dif├¡cil al d├¡a.
yes	1	49392	Yes.
mira mira as├¡ como usted mire le voy a explicar mira as├¡ como usted	1	41097	Mira, mira, as├¡ como usted, mire, le voy a explicar, mira, as├¡ como usted,
de de de una tarjeta	1	38896	┬┐de de de una tarjeta?
qu├® es lo que propone disculpe	1	41771	┬┐Qu├® es lo que propone, disculpe?
pasa que yo he estado juntando 2000 soles y tengo a la mano ese dinero	1	44223	Pasa que yo he estado juntando 2000 soles y tengo a la mano ese dinero.
lo siento pasaba a quedar bien o sea	1	43132	Lo siento. Pasaba a quedar bien. O sea,
de 2000 s├¡ s├¡ yo lo s├® ok y yo lo s├® pero	1	45867	de 2000 S├¡, s├¡, yo lo s├®. Ok Y yo lo s├®, pero
no hay no hay disponibilidad eso es lo que me impiden porque	1	48260	No hay no hay disponibilidad. Eso es lo que me impiden, porque
berto me me me enredo todo ya gracias	1	40203	berto me me me enredo todo ya. Gracias
su n├║mero por favor su n├║mero para yo llamarle por favor	1	42919	su n├║mero, por favor, su n├║mero, para yo llamarle, por favor.
no es un pago al contado porque usted ya tuvo lo	1	50334	No, es un pago al contado, porque usted ya tuvo lo
estimado usted firm├│ un documento en el cual se le indicaba que de no realizar el pago se iba a proceder por las llamadas	1	51074	Estimado, usted firm├│ un documento en el cual se le indicaba que de no realizar el pago se iba a proceder por las llamadas
hueco ac├í y le puede hacer a dar y ya est├ís ac├í	1	41421	hueco ac├í y le puede hacer a dar. Y ya est├ís ac├í,
yo ni yo en ning├║n momento yo no entiendo por qu├® motivo me llaman solamente a este n├║mero ya cu├íntas veces les he dicho que yo no me llamo a un jordi y con lo mismo siguen llam├índome no no entiendo por qu├® tantas llamadas	1	43047	Yo ni yo en ning├║n momento, yo no entiendo por qu├® motivo me llaman solamente a este n├║mero, ya cu├íntas veces les he dicho que yo no me llamo a un Jordi y con l
d├¡a me comunico	1	45825	d├¡a me comunico
llamarme esa fecha para hacer el monto y bueno como te dije a ver estar se├▒ora galeana s├¡ yo voy a proceder en estos momentos	1	49435	llamarme esa fecha para hacer el monto y, bueno, como te dije A ver, estar Se├▒ora Galeana, s├¡, yo voy a proceder en estos momentos.
no lo que te lo que le estoy diciendo es que voy a tratar de conseguir no tiene que voy a cancelar voy a tratar de conseguir no me he pagado hasta mi	1	41145	No, lo que te lo que le estoy diciendo es que voy a tratar de conseguir, no tiene que voy a cancelar, voy a tratar de conseguir. No me he pagado hasta mi
usted firm├│ un documento cuando ya s├¡	1	43987	Usted firm├│ un documento, cuando Ya, s├¡,
que a ver	1	50590	que a ver
d├¡a d├¡game su nombre	1	39895	D├¡a, d├¡game. ┬┐Su nombre?
ya entonces a la a la una lo lo estoy dando su n├║mero y contesta ├®l pues	1	45812	Ya, entonces, a la a la una lo lo estoy dando su n├║mero y contesta ├®l, pues.
a ver d├¡game por favor	1	48193	A ver, d├¡game, por favor.
aseguranza que yo que si yo he pedido 6500 nom├ís siempre me me est├ín cobrando 25000 es injusto	1	40181	aseguranza que yo que si yo he pedido 6500 nom├ís, siempre me me est├ín cobrando 25000, es injusto
simplemente yo le puedo decir que s├¡ llamaron y por favor que va a llamar a a tal hora que espere el la llamada no no	1	41975	Simplemente, yo le puedo decir que s├¡ llamaron y, por favor, que va a llamar a a tal hora que espere el la llamada. ┬┐No? ┬┐No?
no s├® te pregunto porque recib├¡ un comentario de que est├ín llamando a otros n├║meros el cual ni siquiera est├í a mi nombre	1	50088	No s├®, te pregunto porque recib├¡ un comentario de que est├ín llamando a otros n├║meros, el cual ni siquiera est├í a mi nombre.
a llamar de este mismo n├║mero no es cierto para contestarle	1	44894	a llamar de este mismo n├║mero. ┬┐No es cierto? Para contestarle.
ya pero en todo caso yo quisiera que usted me confirme para poder ayudarla porque tendr├¡a que yo elevar una propuesta a la financiera si usted cuenta con el ya si llega	1	49696	Ya. Pero en todo caso, yo quisiera que usted me confirme para poder ayudarla, porque tendr├¡a que yo elevar una propuesta a la financiera, si usted cuenta con el
usted cuenta con el corte en mano	1	45768	┬┐Usted cuenta con el corte en mano?
