ejecucion_id,conversacion_pk,turno_idx,estado_promesa,numero_cuotas,fecha_pago,evidence_text_260
2,2585,9,PENDIENTE_MONTO,,,"Bueno. ¿Cuándo le brindaron ese documento, fecha?"
2,2568,36,PENDIENTE_MONTO_CON_FECHA,,2025-05-03,"Perfecto. Entonces, estoy elevando el reporte de su pago para el día de mañana. Al finalizar la llamada, le voy a escribir a través del WhatsApp enviándole el documento con el acuerdo. Una vez usted reciba la información, por favor, me da la conformidad de que"
2,2535,1,PENDIENTE_MONTO,,,"¿Aló? Aló. Buenos días. ¿Por qué te llamas? Dígame. Le saluda Claudia Mendoza. Sí, sí, sí, sí, soy encargada de su Sí, de sus pagos mensuales, señora Magdalena. Me he estado comunicando con usted a este número pero no figura en WhatsApp. Me estuve comunicando "
2,2512,7,PENDIENTE_MONTO,,,"Ya, señora Lidia, pero le recuerdo que usted tenía un compromiso de pago, el cual"
2,2498,8,PENDIENTE_MONTO,,,"Sé todo ahora, sé todo en ese caso. Entonces, entonces, este, ¿yo para qué hago yo diciendo algo que no va a cumplir? Ahorita estoy en tema de salud, estoy sin tratamiento y ya seguramente me mejoren los próximos meses, yo voy a pagar, yo no me voy a quedar as"
2,2490,3,PENDIENTE_MONTO,,,"¿Qué tal? ¿Cómo está? Le saluda Ricardo Casas, del estudio jurídico C R Abogados, por encargo de Financiera OH!. Queríamos comunicarnos con usted. ¿Qué tal? Referente a la cuenta, se mantiene pendiente. Estamos validando que la fecha no se ha podido realizar, "
2,2464,9,PENDIENTE_MONTO,,,"La verdad, de repente, no sé, la verdad, ha pasado un gasto, un gasto, si no te he hecho el depósito, porque resulta que tenía un gasto ahí de repente."
2,2438,10,PENDIENTE_MONTO,,,"Váyase a la concha de tu madre, entonces, no te voy a pagar nunca, yo ya pagué ya."
2,2426,3,PENDIENTE_MONTO_CON_FECHA,,2025-05-23,"¿Cómo está, señor Aguirre? ¿Qué tal? Le saluda Lorena Sotelo, del área de validaciones de Financiera OH!. Estimado, puedo visualizar en el sistema, en este caso, usted tuvo compromiso de pago con fecha el 23?"
2,2424,7,PENDIENTE_MONTO,,,pasado el mes de mayo por WhatsApp.
2,2392,12,PENDIENTE_MONTO,,,"Su carta de no adeudo, correcto. Pero, como le comento, su abogado no se ha comunicado tampoco con nosotros, no nos ha brindado"
2,2359,16,PENDIENTE_MONTO,,,"Bueno, estimado, en todo caso, como no se está generando ningún compromiso de pago en el sistema, recordarle"
2,2350,10,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Víctor, sí, pero necesitamos el día de hoy que nos confirme en qué horario se acercará, porque ya estamos próximos a finalizar el mes y el beneficio que se le ha estado brindando solamente está plazo hasta mañana. Para que pueda cancelar."
2,2345,5,PENDIENTE_MONTO,,,"Ok, pero no, no, no, este, con mi compañera Claudia. Con mi compañera Gloria, ok. Sí, yo le voy a dar respuesta a ella. No registro ningún compromiso de pago en el sistema, por eso es el motivo de mi llamada."
2,2344,4,PENDIENTE_MONTO,,,"Que lo que pasa es que como entienda, pues. No, no entiendo, yo lo yo estaba, yo iba a pagar, si no sé, no me no me depositan una plata que tenía que cancelar. Me tenían que cancelar por"
2,2320,6,PENDIENTE_MONTO,,,"Estima, realizó un compromiso de pago por la deuda que presenta, y hasta la fecha no Sí,"
2,2309,6,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Señor Porfirio, en este caso, a usted se le registró un compromiso de pago con fecha. Ahora, actualmente ya le está visualizando en el está registrando en el sistema el incumplimiento de pago. Podríamos darle el la el la la facilidad de la reprogramación única"
2,2304,8,PENDIENTE_MONTO,,,"Claro, entiendo, señor Jorge, pero se le está llamando referente al incumplimiento que tú a un compromiso de pago. ¿Por qué motivo no canceló? ¿Aló? ¿Aló, señor Jorge?"
2,2270,10,PENDIENTE_MONTO,,,Un compromiso de pago y lo va
2,2242,13,PENDIENTE_MONTO,,,"Ya. Se le va a enviar, en todo caso, la información por WhatsApp para poder estar en comunicación. ¿Sí?"
2,2205,9,PENDIENTE_MONTO,,,"Por eso, no, está bien, no, yo no lo reclamo eso, señorita, está bien, que me llamen, que esto que lo otro, ¿no? Pero yo conversé ayer, anteayer, donde conversé, le expliqué, yo estoy con cáncer, estoy en un tratamiento, señorita, la cual he hecho muchos gasto"
2,2203,6,PENDIENTE_MONTO,,,"Estimada, se le puede brindar un fraccionamiento en cuotas bajas para que pueda cancelar mensual actualmente?"
2,2194,8,PENDIENTE_MONTO,,,"de efectivo. ¿Qué le impide cancelar, señora Abimalex?"
2,2159,1,PENDIENTE_MONTO,,,"Cambiar de Claro es muy fácil. Buenos días. ¿Karen Rico? Buenos días. ¿Qué tal, señora? Le saluda Ricardo Casas, dirección jurídico, cierre de abogados, por encargo de Financiera OH!. Señora Karen, queríamos comunicarnos con usted referente a la cuenta, que es"
2,2155,15,PENDIENTE_MONTO,,,Y de y de ninguna manera voy a pagar nada.
2,2150,8,PENDIENTE_MONTO,,,"¿Por qué es el motivo que no está logrando cancelar, estimado?"
2,2144,7,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"Claro, pero es justamente por ello el motivo de mi llamada, si es que desea refinanciar, ¿sí? Podemos consultarlo para que se aprobar, pero es necesario que haga el abono el día de hoy o a más tardar el día de mañana, estimada Karina, no le garantizo que de re"
2,2124,6,PENDIENTE_MONTO,,,"Ok. ¿Pero qué fue lo que indicó? Porque no hay ningún registro, ningún compromiso de pago."
2,2119,5,PENDIENTE_MONTO_CON_FECHA,,2025-05-02,"se le harían los haga cerciorar. Y, bueno, se está comprometiendo como encargado de pago, que si lo aprueba, usted cancelaría hoy mismo que se incorpore."
2,2105,7,PENDIENTE_MONTO,,,"Entiendo, estimado, pero mientras no haya un compromiso de pago, se le seguirá llamando."
2,2049,10,PENDIENTE_MONTO_CON_FECHA,,2025-05-03,"No, yo puedo hacer lo posible. Mire, yo puedo hacer lo posible. Yo puedo hacer lo posible hasta el día lunes a más tardar, porque, mire, tenga en cuenta que el beneficio lo tenemos habilitado hasta el día de mañana. ¿No? Que es viernes. El día sábado y el día "
2,1973,10,PENDIENTE_MONTO,,,"Señorita, a mí a mí me a mí me han ofrecido, a mí me han ofrecido cancelar la la deuda hasta con 4 sucursales, pero en este momento no tenían porque tenía más urgencia. Pero si usted me va a ofrecer ahorita un un monto mayor, Lógico usted no lo acepta ahorita,"
2,1966,9,PENDIENTE_MONTO,,,¿Usted cuenta con la documentación en este caso es el problema que usted que tiene de salud? Veintiuno.
2,1960,4,PENDIENTE_MONTO,,,"Sí, señorita, disculpe, ahorita estoy un un con un tema de salud, de verdad, no estoy estoy un poquito indispuesto. De verdad, cuando yo tengo salud, ya llega el momento a arreglar mis cosas, pero ahorita tengo documentos y todo que mi esposa es enterrada y es"
2,1923,10,PENDIENTE_MONTO,,,"No lo encuentro, no lo puedo enviar por WhatsApp."
