conversation_id,prev_turno_idx,prev_fase,curr_turno_idx,curr_fase,speaker,txt
SANDBOX_EJ3__20250502-083207_968264448_FOHCASTI_avelasquezm_80111263_CE10-all-_mp3cut.net_.txt,17,FORMALIZACION_PAGO,22,OFERTA_PAGO,CLIENTE,"Ya, amigo, ya, me entiendo también eso. Ojalá, en algún momento existe otra información, más sería buena, ¿no? Pero quiero primero resolver 1 por un por gusto, le voy a y mencionar si tiene voy a paga"
SANDBOX_EJ3__20250502-083207_968264448_FOHCASTI_avelasquezm_80111263_CE10-all-_mp3cut.net_.txt,17,FORMALIZACION_PAGO,23,OFERTA_PAGO,AGENTE,"Claro, comprendo, estimado. En este caso, se le se le estarán retiendo las posibilidades, como también se usaron a inicio de la cobranza es el domicilio contractual en el registro de"
SANDBOX_EJ3__20250502-084802_987798233_FOHCASTI_avelasquezm_40976175_CBHOLD-all-_mp3cut.net_.txt,16,FORMALIZACION_PAGO,18,OFERTA_PAGO,CLIENTE,"Mire, ahorita tenía primero problemas de mi hija, pues, se se estaba delicada de salud, yo estoy fui a casa, pasó meses sin trabajo."
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,34,VALIDACION_IDENTIDAD,AGENTE,"Inés Alcalá, yo le, este número tiene WhatsApp. Sí, es mi hijo, es mi es mi teléfono con"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,35,VALIDACION_IDENTIDAD,UNKNOWN,WhatsApp.
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,36,VALIDACION_IDENTIDAD,AGENTE,Ya. Ahí yo le ¿Su
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,37,VALIDACION_IDENTIDAD,CLIENTE,nombre es Juan?
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,38,VALIDACION_IDENTIDAD,AGENTE,Inés Inés Alcalá. ¿Inés Alcalá? Ajá.
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,39,VALIDACION_IDENTIDAD,CLIENTE,"Ya, señorita. Entonces, este,"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,49,OFERTA_PAGO,CLIENTE,"Vamos a decir que, entonces, 3 meses mejor, para no estar, este"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,50,OFERTA_PAGO,AGENTE,"Sí, como 3 meses, señora Uffel. Ajá. De todas maneras, como le di la carta, usted puede acercarse al banco, llegar a dar una presión con el banco, a ver qué qué qué le dice, pues. Pero mayormente, señ"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,51,OFERTA_PAGO,UNKNOWN,"meses como para que minten su nombre, por decirlo así. Porque recuerde O sea, después de meses me pueden"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,52,OFERTA_PAGO,AGENTE,volver a dar a
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,53,OFERTA_PAGO,CLIENTE,a a a dar un préstamo Un crédito.
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,54,OFERTA_PAGO,AGENTE,"Ajá, crédito o préstamo,"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,55,OFERTA_PAGO,CLIENTE,"exacto. Una carta, un crédito. Ajá. Cualquier entidad, cualquier banco, puede decir, Scotiabank."
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,56,OFERTA_PAGO,AGENTE,"Claro, cualquier entidad, señor. Ya."
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,76,VALIDACION_IDENTIDAD,AGENTE,"Nombre y DNI. Ya, señorita. Muchas gracias. No se preocupe, señor Eugenio. De todas maneras, ahí le dejé un mensaje por WhatsApp en lo que tenga para Ah, sí, sí, sí, sí, sí. Me me me hace, me hace"
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,77,VALIDACION_IDENTIDAD,CLIENTE,"Mándeme su su número Sí, de todas maneras."
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,78,VALIDACION_IDENTIDAD,AGENTE,Me hace presente para poder
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,80,VALIDACION_IDENTIDAD,UNKNOWN,Ajá. Cualquier Plaza Vea.
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,81,VALIDACION_IDENTIDAD,CLIENTE,"¿No? Sí, cualquier Plaza Vea. Gracias. Plaza Vea, Macro, Esle o agente interbanco. Con foto, señorita."
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,82,VALIDACION_IDENTIDAD,AGENTE,"Gracias. Listo, señor, usted me, de todas maneras, yo le dejé un mensaje por WhatsApp. Cualquier consulta o duda que tenga, me lo hace saber por ahí."
SANDBOX_EJ3__20250502-085422_966363518_FOHCASTI_ialcalal_09432913_INCALL-all-_mp3cut.net_.txt,33,FORMALIZACION_PAGO,83,VALIDACION_IDENTIDAD,CLIENTE,"Conforme, señorita."
