conversacion_pk,turno_idx,monto,moneda,numero_cuotas,fecha_pago,estado_promesa,evidence_text_250
3063,3,1070.00,,,,COMPROMETIDA_SIN_FECHA,"Buen día, estimado, le saluda Mercy Paiva, asesora de ser abogados por encargo de Financiera OH!. El motivo de mi llamada es para poder indicarle que tiene alternativas de pago con financiera para que pueda liquidar su deuda, así evite que su deuda s"
3061,14,2023.00,PEN,,,COMPROMETIDA_SIN_FECHA,"No, no, no tengo las tarjetas, señorita, aquí en cancelaron. Entonces, por eso está su llamada, señorita, ahorita estoy ocupado."
3060,3,202.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"Le saluda Jessica García, del área de conciliación por el cargo de Financiera OH!. Señora Inés, me comunico con usted, estimada, ya que mantiene una deuda con la financiera por el importe de 670 soles. Sin embargo, se le está brindando un beneficio p"
3058,8,500.00,,,,COMPROMETIDA_SIN_FECHA,"Sí, pero me van a fraccionar de por 5000, yo ahorita no tengo ni siquiera para dar 500 iniciales. Señorita, dígame una cosa, cuando yo solucione, le mando el por WhatsApp, le mando eso, me tengo que acercar a a a las cajas de OLE. ¿Cómo hago?"
3057,1,1775.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"¿Rocío Gabriela? Buenos días. ¿Hola? ¿Señora Cisneros? ¿Aló? ¿Aló? ¿Aló? Señora Cisneros. ¿Me escucha? ¿Quién habla? Buenos días. Un placer, estimada. ¿Cómo está? Le saluda Lorena Sotelo, del área de conciliaciones BCR Abogados. Me comunico en refere"
3055,3,811.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Un placer, señorita Lizi. Le habla Miriam Palacio del área judicial del estudio jurídico C R Abogados. Me estoy comunicando con usted en relación al convenio mantiene con Financiera OH! para cancelar de manera mensual 811 soles y darle finiquito a la"
3054,5,817.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"Estimada, me comunico con usted, ya que mantiene una deuda con la financiera por el importe de 3529 soles. Sin embargo, se le está brindando el beneficio para que pueda cancelar toda su deuda con 817 soles. Quisiera una respuesta concluyente el día d"
3051,1,300.00,,,,COMPROMETIDA_SIN_FECHA,"Aló, muy buenas tardes. ¿Con Fiorella? ¿De parte? Te saluda Marianela del estudio C R Abogados, por encargo de financiera o. Nos comunicamos por su deuda que se está manteniendo actualmente. Queríamos saber cuál sería el motivo por el cual aún no ha "
3050,7,288.00,PEN,3,2025-05-03,COMPROMETIDA_CON_FECHA,El beneficio que le brindamos está vigente solo hasta el día de mañana. Le podemos dar la facilidad si en caso no cuenta con todo el importe de poder también fraccionar hasta en 3 cuotas fijas de 288 soles mensual. Claro que la primera cuota la tendr
3049,7,144.00,,,,COMPROMETIDA_SIN_FECHA,pudo cancelar este importe? Más económicos.
3048,3,31740.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"Ya, entonces, disculpe, si me he equivocado, señor Joelito, le comento, Financiera o le va a brindar a usted la posibilidad de vincularse de la deuda que mantiene actualmente. Le comento también que tiene la posibilidad de hacer Bien, sea un pago úni"
3047,11,2469.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Sí, mire, lo que yo visualizo es que su capital es de 4488 soles. Ahora, no se le está cobrando la deuda total ni el capital, se le está brindando un descuento al 50 por 100 sobre el capital, para que pueda cancelar toda su deuda con 2469 vale."
3046,5,3622.00,,,2025-05-02,COMPROMETIDA_CON_FECHA,"Entiendo. Mire, y mi llamada es porque tiene una promoción el día de hoy. ¿Ok? Para cancelar los 3622, es de su deuda total. ¿No? Tenemos modalidad de de pago, pues. ¿No? Usted actualmente se encuentra laborando. ¿No?"
3045,26,1000.00,PEN,3,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,"En todo caso, estimado, trate de hacer todo lo posible, tenga en cuenta que esto también le va a ayudar mucho a usted a poder recuperar lo que es su historial crediticio. Quizás más adelante usted pueda contar, no pueda necesita más que todo solicita"
3044,5,2566.00,PEN,,,COMPROMETIDA_SIN_FECHA,"El motivo de la llamada es debido a la deuda que mantiene con la financiera, cual no ha concretado acuerdo de pago. Ya. Actualmente, estimado, se está evaluando la transferencia de su cuenta al área de procesos judiciales, es por ello que nos estamos"
3043,3,391.00,PEN,,,COMPROMETIDA_SIN_FECHA,"El pago se realiza en cajas de Plaza Vea o de OSH directamente a su número tarjeta. ¿Usted cuenta con el importe para que pueda cancelar de los 391 soles, señor Víctor?"
3042,7,31.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"31 soles, es un descuento que estuvo vigente solo el mes pasado, ya no está vigente. Sí Le podríamos habilitar sí, pero para que pueda cancelar máximo hasta el día de hoy o hasta el día de mañana"
3041,1,131.00,,,2025-05-03,COMPROMETIDA_CON_FECHA,"Aló, señora Luzeli Borda. Buenas tardes. Le saluda Claudia Mendoza, me comunico con usted referente a su caso con financiera o señora Luzeli. Estimado, verifico que mantiene una deuda por un importe de 2774. Se le habilita la alternativa de liquidarl"
3040,15,148.00,PEN,,2025-05-03,COMPROMETIDA_CON_FECHA,"Los 148 soles de la primera cuota, usted tendría que cancelarlo hasta el día de mañana."
3039,9,1720.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Mire, actualmente su deuda asciende a 1720 soles. Se le está brindando la alternativa de cancelar esta deuda con un pago único de 867 soles. Es por ello que nos estamos comunicando con usted, ya que este beneficio está siendo evaluado para ser retira"
3038,7,2000.00,PEN,,2025-05-26,COMPROMETIDA_CON_FECHA,"Imposible, señor Clemente. Le comento lo que sucede, estaría usted solo cancelando con el 27, casi 28 por 100, ni siquiera el 28 por 100, un poco menos, tiene 27.74 por 100 de descuento. O sea, de solamente para cancelarle, la financiera le está exon"
3037,1,1936.00,,2,2025-04-15,COMPROMETIDA_CON_FECHA,"¿Aló? Aló. ¿Señora Eliana Arboleda? ¿De parte? Le saluda Claudia Mendoza. Me comunico con usted referente a su casa con Financiera. Aló, señora Ya. Estimado, verifico que mantiene una deuda por un importe de 1936. Ya le he estado brindando la alterna"
3035,16,1586.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Ya. Mire, en este caso, podríamos confirmarlo a más tardar hasta el día lunes, se necesita ya una respuesta concreta, señora Mirta. Lo que pasa es que está contando usted con 1586 días de mora, y justamente, como le mencioné al inicio de la llamada, "
3033,6,7748.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Le saluda Jessica García, del área de conciliación, por encargo de Financiera Señora Chequi, me comunico con usted ya que mantiene una deuda con la financiera por el importe de 12467 soles. Sin embargo, se le está brindando el beneficio para que pued"
3031,11,5500.00,PEN,,,COMPROMETIDA_SIN_FECHA,"¿No podría solicitar el apoyo de algún familiar, amistad estimada? ¿Podría elevar una solicitud financiera o de que lo pueda cancelar hasta por un importe de 5500? Si es que, bueno, si en caso fuera aceptada."
3030,8,9100.00,PEN,,,COMPROMETIDA_SIN_FECHA,"o que pueda ayudar a cancelar? Así es, sí, así es, pero lo mío ha sido el tema de mi pierna."
3029,3,2300.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"Debido a la transferencia de su cuenta al área judicial, debido a que tiene casi 2 años de mora, y el importe será elevado por encima de los 479. A pesar de eso, la financiera le ha habilitado un descuento, hoy puede liquidar esa deuda con solamente "
3028,3,4823.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"¿Cómo está, señor Demetrio? Le saluda Jessica García, del área de conciliación por el cargo de Financiera OH!. ¿Señor Demetrio? ¿De comunico con usted, ya que mantiene una deuda con la financiera por el importe de 7066 soles. Sin embargo, se le está "
3027,17,5135.00,PEN,,2025-04-15,COMPROMETIDA_CON_FECHA,"Entiendo, estimado, pero como le comento, ahorita la propuesta que se le está brindando es a base de 5135. Lo puede cancelar en 2 partes, dentro del mes, abril, que sería 2568. Puede abonar la primera cuota a más tardar hasta el día lunes, 5, este lu"
3026,7,3732.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Sí, lo que pasa es que ya para la próxima semana, señor Víctor, no tendría la posibilidad de acceder al beneficio que tiene habilitado, ya que su cuenta está siendo evaluada para ser transferida al área de procesos judiciales. En este caso, a pesar d"
3025,17,793.00,PEN,5,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,"Claro. Mire, en este caso, señor Víctor, es importante tratar de llegar a un acuerdo de pago con usted. Ahora, estoy verificando que tiene usted la posibilidad de poder llegar a un acuerdo de pago mediante un fraccionamiento, esto únicamente en base "
3024,3,550.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"Buenas tardes, señora Emilio. Le saluda Inés del estudio jurídico ser abogado. Lo estoy llamando por encargo de la financiera OXXO, en referente a su caso. Señor Emilio, anteriormente hemos visto que se han intentado comunicar con usted, sin embargo,"
3023,7,297.00,PEN,2,2025-05-03,COMPROMETIDA_CON_FECHA,"Mire, en todo caso, lo que podríamos hacer es, si usted no contara con todo el importe, es brindarle la facilidad de que pueda cancelarlo hasta en 2 cuotas dentro de este mes. Podríamos solicitar ese fraccionamiento a la financiera. ¿No? En este caso"
3022,5,372.00,PEN,,,COMPROMETIDA_SIN_FECHA,"a los 5 días hábiles, ya se encuentra en atraso. Entonces, podrías orientar su carta de no adeudo."
3021,12,3703.00,,,,COMPROMETIDA_SIN_FECHA,"tendría que comprometer a cancelar la deuda, ya sea transportadora o el monto total."
3019,2,2022.00,PEN,,,COMPROMETIDA_SIN_FECHA,"Yo ya ya me llamaron ya, yo yo, este, me puse de acuerdo con la que me llamó primero. Le dije que este mes que viene ya iba a comenzar a cancelar, porque me daban esa oportunidad."
3018,9,387.00,PEN,6,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,"¿Y por qué no accede a un fraccionamiento, señor Héctor? Tiene la alternativa de cancelar en 6 cuotas fijas de 387 soles cada una. Son las mismas cuotas por 6 meses."
3016,3,1885.00,PEN,,2025-05-02,COMPROMETIDA_CON_FECHA,"¿Con el señor José Quevedo? Sí. ¿Cómo está? Le saluda Jessica García, del área de conciliación, para cargo de la financiera O. Estimado, me comunico con usted, ya que mantiene una deuda con la financiera para el importe de 1885 soles. Sin embargo, le"
3015,30,5500.00,PEN,2,,COMPROMETIDA_EN_CUOTAS_SIN_FECHA,"Sí, sí la entiendo. Mire, hay otra posibilidad, porque, claro, tendría que solicitarlo, porque, como le indico, normalmente ellos nos brindan las excepciones en 2 partes, o sea, dentro de 24 horas, pero habría tomaría el riesgo de preguntar. ¿Qué pos"
3014,5,60.00,PEN,,,COMPROMETIDA_SIN_FECHA,"puede liquidar esa deuda con solamente 60 soles. Realizando ese pago, se estaría desvinculando de la financiera, se le estaría emitiendo su constancia de liquidación a partir de los 5 días hábiles puede solicitar la carta de no adeudo. ¿Por qué no ha"
